r,dr,v,dv
3.59,0, 182.351, 2.43
4.51,0, 212.708, 2.99
5.53,0, 218.647, 1.69
6.5,0, 238.775, 2.19
7.56,0, 235.111, 0.96
8.34, 0,238.346, 0.66
9.45, 0,198.399, 8.44
10.5,0, 215.818, 13.44
11.44,0, 230.733, 11.71
12.51,0, 256.824, 17.5
13.53,0, 243.72, 15.57
14.59,0, 222.39, 25.6
16.05,0, 299.806, 25.27
18.64,0, 265.399, 101.18
26.3, 0,165.518, 6.74
28.26,0, 220.557, 11.54
29.51, 0,190.686, 9.16
32.04, 0,158.188, 6.65
33.99, 0,149.533, 6.93
36.49, 0,157.278, 6.62
38.41, 0,175.491, 11.73
40.42, 0,182.846, 14.12
42.4, 0,178.383, 5.92
44.49,0, 200.914, 17.17
45.99, 0,165.077, 11.23
48.06, 0,201.653, 24.72
49.49, 0,165.244, 17.63
51.39,0, 170.852, 23.58
53.89,0, 143.95, 19.57
56.89,0, 181.07, 24.35
57.98,0, 201.227, 29.81
60.92, 0,156.553, 25.67
64.73,0 ,197.805, 36.27
69.31, 0,195.422, 40.89
72.96, 0,182.192, 40.98
76.95, 0,216.004, 74.37
81.13, 0,178.631, 66.53
84.9, 0,110.79, 36.46
89.35,0, 134.848, 29.49
92.44,0, 146.516, 67.23
97.41, 0,177.562, 72.86
100.72, 0,97.7757, 40.99
106.77, 0,129.176, 53.17
119.98, 0,143.75, 25.46
189.49, 0,120.129, 37.32
